score,filename,path
5.810809,P1114769.JPG,D:\漫展\Capture\P1114769.JPG
5.809079,P1114941.JPG,D:\漫展\Capture\P1114941.JPG
5.799010,P1114849.JPG,D:\漫展\Capture\P1114849.JPG
5.796409,P1115047.JPG,D:\漫展\Capture\P1115047.JPG
5.795284,P1115182.JPG,D:\漫展\Capture\P1115182.JPG
5.793069,P1115183.JPG,D:\漫展\Capture\P1115183.JPG
5.790842,P1115212.JPG,D:\漫展\Capture\P1115212.JPG
5.790574,P1115035.JPG,D:\漫展\Capture\P1115035.JPG
5.788851,P1114973.JPG,D:\漫展\Capture\P1114973.JPG
5.785468,P1115154.JPG,D:\漫展\Capture\P1115154.JPG
5.784410,P1115052.JPG,D:\漫展\Capture\P1115052.JPG
5.780460,P1115198.JPG,D:\漫展\Capture\P1115198.JPG
5.769342,P1115184.JPG,D:\漫展\Capture\P1115184.JPG
5.762816,P1114797.JPG,D:\漫展\Capture\P1114797.JPG
5.761670,P1115275.JPG,D:\漫展\Capture\P1115275.JPG
5.756768,P1115176.JPG,D:\漫展\Capture\P1115176.JPG
5.755979,P1114700.JPG,D:\漫展\Capture\P1114700.JPG
5.755425,P1115081.JPG,D:\漫展\Capture\P1115081.JPG
5.753667,P1115397.JPG,D:\漫展\Capture\P1115397.JPG
5.750751,P1115318.JPG,D:\漫展\Capture\P1115318.JPG
5.749862,P1114692.JPG,D:\漫展\Capture\P1114692.JPG
5.749600,P1114940.JPG,D:\漫展\Capture\P1114940.JPG
5.748673,P1115177.JPG,D:\漫展\Capture\P1115177.JPG
5.748318,P1115194.JPG,D:\漫展\Capture\P1115194.JPG
5.747748,P1115328.JPG,D:\漫展\Capture\P1115328.JPG
5.745255,P1114711.JPG,D:\漫展\Capture\P1114711.JPG
5.744291,P1115149.JPG,D:\漫展\Capture\P1115149.JPG
5.742910,P1115048.JPG,D:\漫展\Capture\P1115048.JPG
5.742869,P1115335.JPG,D:\漫展\Capture\P1115335.JPG
5.742032,P1114912.JPG,D:\漫展\Capture\P1114912.JPG
5.741242,P1115125.JPG,D:\漫展\Capture\P1115125.JPG
5.738302,P1115045.JPG,D:\漫展\Capture\P1115045.JPG
5.737823,P1115193.JPG,D:\漫展\Capture\P1115193.JPG
5.734344,P1114822.JPG,D:\漫展\Capture\P1114822.JPG
5.727518,P1114844.JPG,D:\漫展\Capture\P1114844.JPG
5.727102,P1114932.JPG,D:\漫展\Capture\P1114932.JPG
5.726379,P1114781.JPG,D:\漫展\Capture\P1114781.JPG
5.726076,P1114812.JPG,D:\漫展\Capture\P1114812.JPG
5.726048,P1114755.JPG,D:\漫展\Capture\P1114755.JPG
5.723396,P1114745.JPG,D:\漫展\Capture\P1114745.JPG
5.719169,P1114701.JPG,D:\漫展\Capture\P1114701.JPG
5.718720,P1114713.JPG,D:\漫展\Capture\P1114713.JPG
5.706627,P1114931.JPG,D:\漫展\Capture\P1114931.JPG
5.705709,P1114792.JPG,D:\漫展\Capture\P1114792.JPG
5.703701,P1114676.JPG,D:\漫展\Capture\P1114676.JPG
5.703514,P1115120.JPG,D:\漫展\Capture\P1115120.JPG
5.701711,P1115350.JPG,D:\漫展\Capture\P1115350.JPG
5.700924,P1114666.JPG,D:\漫展\Capture\P1114666.JPG
5.700043,P1115215.JPG,D:\漫展\Capture\P1115215.JPG
5.699658,P1114712.JPG,D:\漫展\Capture\P1114712.JPG
5.697795,P1115121.JPG,D:\漫展\Capture\P1115121.JPG
